date,actual,fitted_value,level,trend,season,residual
1958-03-01,316.1,316.0705577991073,315.5185384378148,0.08247364586541361,1.0018127897938987,0.029442200892731307
1958-04-01,317.2,317.1909229258148,315.60713169207685,0.08252784431332412,1.0050377241556911,0.009077074185199763
1958-05-01,317.43333333333334,317.6583047995914,315.538168236552,0.08118615824600915,1.0062360144012708,-0.22497146625806863
1958-06-01,316.5143442622951,316.97053252749134,315.3115683268551,0.07846024408781127,1.004281036995606,-0.45618826519626055
1958-07-01,315.625,315.32391575415465,315.5940797880081,0.0802674282313728,0.9997903775934585,0.3010842458453453
1958-08-01,314.95000000000005,313.71610725848643,316.51562611008933,0.08771823347108101,0.9937966452610999,1.233892741513614
1958-09-01,313.5,313.00556750960874,316.9422123342082,0.09071942536920863,0.9886363271322631,0.4944324903912616
1958-10-01,313.46311475409834,313.3387135324902,317.11821723529056,0.09147475808224828,0.9883475252662751,0.12440122160813871
1958-11-01,313.425,314.5379695362666,316.44916128096247,0.08473910090790181,0.9915774248878813,-1.1129695362665757
1958-12-01,314.7,314.9229067104822,316.38209078355715,0.0833945958230612,0.9949105177377696,-0.22290671048222066
1959-01-01,315.5,315.6972851582852,316.33148376538855,0.08220780754754722,0.9975725623912065,-0.19728515828518312
1959-02-01,316.7,316.251401391805,316.71780867337327,0.08490122741340513,0.9994870949473637,0.44859860819497044
1959-03-01,316.7333333333333,317.3770066199743,316.3673594243279,0.08104553623320125,1.0018127897938987,-0.6436732866409329
1959-04-01,317.675,318.04258473426086,316.20058561036774,0.07885071864486012,1.0050377241556911,-0.3675847342608449
1959-05-01,318.325,318.2517594487861,316.32875505591073,0.07928751104685036,1.0062360144012708,0.07324055121387119
1959-06-01,318.025,317.762597102894,316.58508341188667,0.08085547722867575,1.004281036995606,0.26240289710597153
1959-07-01,316.525,316.59955861293565,316.615408926415,0.0804079574898563,0.9997903775934585,-0.07455861293567523
1959-08-01,314.9,314.7312403874482,316.81087866796224,0.08142700474019415,0.9937966452610999,0.16875961255175298
1959-09-01,313.825,313.29124517673495,317.2581239147748,0.08466688213963836,0.9886363271322631,0.533754823265042
